name,slug
Завтрак,zavtrak
Обед,obed
Ужин,uzhin
Перекус,perekus
Суп,sup
Основное блюдо,osnovnoe-blyudo
Десерт,desert
Выпечка,vypechka
Закуски,zakuski
Напитки,napitki
Итальянская,italyanskaya
Французская,frantsuzskaya
Японская,yaponskaya
Тайская,tayskaya
Индийская,indiyskaya
Мексиканская,meksikanskaya
Русская,russkaya
Американская,amerikanskaya
Греческая,grecheskaya
Веганское,veganskoe
Вегетарианское,vegetarianskoe
Мясное,myasnoe
Курица / Птица,kuritsa-ptitsa
Рыба / Морепродукты,ryba-moreprodukty
Без лактозы,bez-laktozy
Без глютена,bez-glyutena
Без сахара,bez-sahara
Низкокалорийное,nizkokaloriynoe
Высокобелковое,vysokobelkovoe
На сковороде,na-skovorode
В духовке,v-duhovke
В мультиварке,v-multivarke
На гриле,na-grile
Без варки,bez-varki
Быстро (до 15 мин),bystro
Долго (более часа),dolgo
Детское питание,detskoe-pitanie